Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY
53,003o0000005EQJh,5,-0.00261,0.4366,54,2,-0.5,-0.06329392,-0.0532988,0.243683372,0.49364296,10.0304519,-0.405833061,-0.281038964,-6.405833061,-2.405833061,0.718961036
54,003o0000005EQMo,5,-0.16238,0.54453,55,2,-1,-0.06329392,-0.0532988,0.367217325,0.605984592,11.84342553,0.454403927,-0.400916945,-5.545596073,-1.545596073,0.599083055
55,003o0000005EQNI,5,-0.28663,0.50997,56,2,-1.5,-0.06329392,-0.0532988,0.367150746,0.605929654,11.84257032,0.454019725,-0.40126903,-5.545980275,-1.545980275,0.59873097
56,003o0000005EQK3,5,-0.11896,0.4883,57,2,-2,-0.06329392,-0.0532988,0.296427973,0.544451993,10.86672876,-0.069956271,-0.539938971,-6.069956271,-2.069956271,0.460061029
57,003o0000005Befi,5,-0.03337,0.46558,58,1.5,-2,-0.06329392,-0.0532988,0.27013065,0.519740945,10.46349724,-0.263677233,-0.447889458,-6.263677233,-2.263677233,0.552110542
58,003o0000005EQMU,5,0.02213,0.40639,59,1,-2,-0.06329392,-0.0532988,0.218611039,0.467558594,9.590004995,-0.461190932,-0.076902297,-6.461190932,-2.461190932,0.923097703
59,003o0000005EQL9,5,-0.0581,0.34605,60,0.5,-2,-0.06329392,-0.0532988,0.159506441,0.399382575,8.400778029,-0.207660328,0.34115045,-6.207660328,-2.207660328,1.34115045
60,003o0000005Cuit,5,-0.0125,0.41151,61,0,-2,-0.06329392,-0.0532988,0.218627243,0.467575922,9.590300175,-0.461185303,-0.077041283,-6.461185303,-2.461185303,0.922958717
61,003o0000005EQLM,5,-0.09961,0.49375,62,-0.5,-2,-0.06329392,-0.0532988,0.300581247,0.548252904,10.92817842,-0.036922014,-0.547008238,-6.036922014,-2.036922014,0.452991762
62,003o0000005CufL,5,0.00911,0.33566,63,-1,-2,-0.06329392,-0.0532988,0.156531276,0.395640336,8.33383331,-0.182646415,0.350958064,-6.182646415,-2.182646415,1.350958064
63,003o0000005EQHu,5,-0.06792,0.45865,64,-1.5,-2,-0.06329392,-0.0532988,0.262112974,0.511969701,10.33533096,-0.313995657,-0.404375694,-6.313995657,-2.313995657,0.595624306
64,003o0000005EQNO,5,-0.06162,0.31336,65,-2,-2,-0.06329392,-0.0532988,0.134441478,0.366662621,7.80929312,0.016380155,0.366296558,-5.983619845,-1.983619845,1.366296558
65,003o0000005EQOQ,5,0.07975,0.39372,66,-2,-1.5,-0.06329392,-0.0532988,0.220287371,0.469347814,9.620465962,-0.460389901,-0.09126067,-6.460389901,-2.460389901,0.90873933
66,003o0000005EQNK,5,-0.0388,0.19932,67,-2,-1,-0.06329392,-0.0532988,0.06441621,0.253803487,5.654543034,0.205283027,-0.149248414,-5.794716973,-1.794716973,0.850751586
67,003o0000005EQHY,5,-0.05766,0.52681,68,-2,-0.5,-0.06329392,-0.0532988,0.336557961,0.580136157,11.43777547,0.248257639,-0.524333964,-5.751742361,-1.751742361,0.475666036
68,003o0000005Beul,5,-0.07514,0.42874,69,-2,0,-0.06329392,-0.0532988,0.232501734,0.482184336,9.837922568,-0.441614706,-0.193592834,-6.441614706,-2.441614706,0.806407166
69,003o0000005EQLv,5,-0.103,0.39173,70,-2,0.5,-0.06329392,-0.0532988,0.199627206,0.446796604,9.233796851,-0.438673159,0.08481194,-6.438673159,-2.438673159,1.08481194
70,003o0000005EQHN,5,-0.06196,0.39613,71,-2,1,-0.06329392,-0.0532988,0.201988026,0.44943078,9.279272838,-0.444681552,0.065163972,-6.444681552,-2.444681552,1.065163972
71,003o0000005EQNo,5,-0.31544,0.29534,72,-2,1.5,-0.06329392,-0.0532988,0.185126659,0.430263476,8.946466901,-0.381976544,0.19804186,-6.381976544,-2.381976544,1.19804186
72,003o0000005EQLP,5,-0.09671,0.1979,73,-2,2,-0.06329392,-0.0532988,0.064217472,0.253411664,5.646729119,0.203795451,-0.150615025,-5.796204549,-1.796204549,0.849384975
