rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
37,217,003o0000005Be0X,1,0.0842700,-0.0309500,218,0.0,3.5,0.2214238,0.0021967,0.0199099,0.1411023,3.2998689,-0.1393386,-0.0222400,-2.1393386,-0.8893386,-1.8222400,0.00,0,1,6
38,228,003o0000005Be0Y,1,0.4163200,-0.0104600,229,4.0,2.0,0.2214238,0.0021967,0.0381447,0.1953067,4.4600706,-0.0487582,-0.1891226,-2.0487582,-0.7987582,-1.9891226,0.00,0,0,7
39,231,003o0000005Be2d,1,0.0916000,0.0242600,232,4.0,0.5,0.2214238,0.0021967,0.0173410,0.1316853,3.0926979,-0.1315279,0.0064362,-2.1315279,-0.8815279,-1.7935639,0.00,0,1,27
40,335,003o0000005Be2Q,6,0.1229200,-0.3387700,336,-4.5,1.0,0.2472493,-0.3539287,0.0156876,0.1252500,2.9501298,-0.1229612,0.0238345,-0.1229612,-0.1729612,0.6238345,0.15,0,0,26
41,384,003o0000005Be2S,4,-0.0482600,-0.2919200,385,3.0,-5.0,-0.2250190,-0.1624963,0.0479942,0.2190759,4.9523271,0.0520617,-0.2127999,2.0520617,0.7020617,1.5372001,0.15,0,1,18
42,333,003o0000005Be2T,6,0.3237600,-0.2240400,334,-4.5,0.0,0.2472493,-0.3539287,0.0227250,0.1507480,3.5103044,-0.1406166,-0.0543317,-0.1406166,-0.1906166,0.5456683,0.15,0,0,19
43,324,003o0000005Be2U,6,0.2917800,-0.3828000,325,-4.5,-4.5,0.2472493,-0.3539287,0.0028165,0.0530711,1.2927684,0.0145659,0.0510331,0.0145659,-0.0354341,0.6510331,0.00,0,0,12
44,280,003o0000005Be2W,1,0.4945900,0.3256700,281,0.0,4.0,0.2214238,0.0021967,0.1792548,0.4233849,8.8259440,-0.3497131,0.2386535,-2.3497131,-1.0997131,-1.5613465,0.00,1,1,14
45,305,003o0000005Be2X,6,0.4541200,-0.3105300,306,4.5,-4.0,0.2472493,-0.3539287,0.0446789,0.2113740,4.7938804,0.0172061,-0.2106725,0.0172061,-0.0327939,0.3893275,0.00,0,0,17
46,303,003o0000005Be2Y,6,0.1468800,-0.5049900,304,4.5,-3.0,0.2472493,-0.3539287,0.0328935,0.1813657,4.1667782,-0.0941180,-0.1550333,-0.0941180,-0.1441180,0.4449667,0.00,1,1,15
47,295,003o0000005Be3J,1,-0.4986800,0.0945700,296,4.5,1.0,0.2214238,0.0021967,0.5270823,0.7260044,13.6452280,0.3429179,0.6399138,-1.6570821,-0.4070821,-1.1600862,0.15,0,0,13
48,144,003o0000005Be3L,0,-0.2035000,-0.1024100,145,-3.0,-3.0,-0.3321476,-0.1116428,0.0166355,0.1289785,3.0328310,-0.1282164,0.0140003,-4.1282164,-1.6282164,-0.3859997,0.00,1,1,7
49,413,003o0000005Be3M,2,0.1322900,-0.1709200,414,-5.0,1.5,0.0846223,-0.2429010,0.0074535,0.0863335,2.0702066,-0.0413458,0.0757892,3.9586542,1.6086542,-1.2542108,0.00,0,1,9
