,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY
18,003o0000005EQOA,5,0.26755,0.50171,19.0,-1.0,0.0,-0.06329392,-0.0532988,0.41749246747840635,0.6461365702995043,12.46077674583321,0.6425376837479848,-0.06810133950357314
19,003o0000005BeuG,5,-0.16459000000000001,0.17237,20.0,-1.0,0.5,-0.06329392,-0.0532988,0.0611873031168064,0.24736067415174628,5.52574645899282,0.17973178693383834,-0.16995231061205296
20,003o0000005Be8I,5,-0.17079,0.53589,21.0,-1.0,1.0,-0.06329392,-0.0532988,0.35869884926080636,0.5989147262013236,11.733127574366726,0.4027576207101165,-0.4432664528483205
21,003o0000005Be9m,5,-0.27271999999999996,0.33412,22.0,-0.5,1.0,-0.06329392,-0.0532988,0.19395260957760635,0.4404005104193299,9.12303017879888,-0.420502565920501,0.13088239618787936
22,003o0000005Be9P,5,-0.23699,0.33194,23.0,0.0,1.0,-0.06329392,-0.0532988,0.1785792612328064,0.4225863949925582,8.811915494774734,-0.3456777200070469,0.24307647998836932
23,003o0000005Be87,5,-0.22086999999999998,0.29177,24.0,0.5,1.0,-0.06329392,-0.0532988,0.14390269772160635,0.37934509054633403,8.040220361406886,-0.07024104758851515,0.37278531751569066
24,003o0000005Be8f,5,-0.18907000000000002,0.4076,25.0,1.0,1.0,-0.06329392,-0.0532988,0.2282473261416064,0.477752369059125,9.763056596847687,-0.45067686248178057,-0.15854870470989238
25,003o0000005Be8e,5,-0.11947,0.13764,26.0,1.5,1.0,-0.06329392,-0.0532988,0.03961337730960641,0.19903109633825164,4.537845273424114,-0.034563500480790425,-0.19600699412041606
26,003o0000005Be9A,5,-0.08607000000000001,0.09379,27.0,1.5,0.5,-0.06329392,-0.0532988,0.022153864905606398,0.14884174449933862,3.4688564033411797,-0.14094203792806143,-0.04784565654572311
27,003o0000005Be6h,5,-0.29118,0.23565,28.0,1.5,0.0,-0.06329392,-0.0532988,0.13542347447920638,0.3679992859764899,7.833732431330305,0.007451182888613131,0.367923843142527
28,003o0000005Be9c,5,-0.29884,0.21908000000000002,29.0,1.5,-0.5,-0.06329392,-0.0532988,0.1296721664928064,0.3601002172906959,7.688959655434532,0.05915510705128683,0.3552081640426599
29,003o0000005Be82,5,-0.10769000000000001,0.04947,30.0,1.5,-1.0,-0.06329392,-0.0532988,0.0125324381728064,0.11194837280106576,2.652844185335934,-0.09884158836958318,0.052562140190295516
30,003o0000005Be9I,5,-0.24916999999999997,0.22439,31.0,1.5,-1.5,-0.06329392,-0.0532988,0.1116609867616064,0.33415712885049514,7.207493207524992,0.2012919683037994,0.26672557106132255
31,003o0000005Be9t,5,-0.20219,0.16471,32.0,1.0,-1.5,-0.06329392,-0.0532988,0.0668199579168064,0.2584955665322065,5.74792531919908,0.22234135493455096,-0.13184945886379068
32,003o0000005EQL4,5,0.28186,0.3209,33.0,0.5,-1.5,-0.06329392,-0.0532988,0.25915597041280636,0.5090736394794042,10.287399469504502,-0.3311262043640695,-0.38666704953519243
33,003o0000005EQIM,5,0.21299,0.39873000000000003,34.0,0.0,-1.5,-0.06329392,-0.0532988,0.2806628404800064,0.5297762173597512,10.62803653858208,-0.19035850920903033,-0.4943950631344552
34,003o0000005EQLa,5,-0.13363,0.45252,35.0,-0.5,-1.5,-0.06329392,-0.0532988,0.26079982258320644,0.5106856396876717,10.314090344709482,-0.3217044805399908,-0.3966182670827217
35,003o0000005EQJi,5,-0.09644,0.32602,36.0,-1.0,-1.5,-0.06329392,-0.0532988,0.14498141465280637,0.38076425075472403,8.0659287692626,-0.0800990382923291,0.372243950545137
36,003o0000005EQ9O,5,0.05097,0.4931,37.0,-1.5,-1.5,-0.06329392,-0.0532988,0.31160789205520634,0.5582184984889038,11.0885795136995,0.05184242293994914,-0.5558059510646874
37,003o0000005EQNw,5,0.02805,0.46631000000000006,38.0,-1.5,-1.0,-0.06329392,-0.0532988,0.2783370167584065,0.5275765506146065,10.592063144413652,-0.20715288631319928,-0.4852058310145471
38,003o0000005EQM4,5,0.02634,0.28224,39.0,-1.5,-0.5,-0.06329392,-0.0532988,0.12062052592000638,0.34730465865001925,7.452651188527196,0.13567227918601113,0.31970855256073366
39,003o0000005EQKL,5,-0.16387000000000002,0.49999,40.0,-1.5,0.0,-0.06329392,-0.0532988,0.3162440440736064,0.5623557984706892,11.15487023476927,0.08920262402508408,-0.555235928178865
