idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005Be3L,0,-0.203496152,-0.1024114,145,-3,-3
003o0000005BebU,0,-0.291861054,-0.324668003,146,-3,-2.5
003o0000005EQHv,0,-0.234560951,-0.229230903,147,-3,-2
003o0000005EQIb,0,-0.204707219,-0.217662968,148,-3,-1.5
003o0000005EQJP,0,-0.521415769,0.190305905,149,-3,-1
003o0000005EQKx,0,-0.235720854,-0.118003545,150,-3,-0.5
003o0000005EQCU,0,-0.278075646,0.074799943,151,-3,0
003o0000005EQJz,0,-0.26276368,0.095810194,152,-3,0.5
003o0000005Be8o,0,-0.153571469,0.087401133,153,-3,1
003o0000005Be8h,0,-0.304992326,0.19250552,154,-3,1.5
003o0000005Be9k,0,-0.104711246,0.072444117,155,-3,2
003o0000005Be7E,0,-0.515156995,-0.069990564,156,-3,2.5
003o0000005Be7l,0,-0.316778794,-0.268297097,157,-3,3
003o0000005Be6c,0,-0.350555628,-0.38268631,158,-2.5,3
003o0000005Be6d,0,-0.441573793,-0.166967334,159,-2,3
003o0000005Be8G,0,-0.57067578,-0.131861381,160,-1.5,3
003o0000005Be9h,0,-0.501659434,0.021049759,161,-1,3
003o0000005Be8N,0,-0.323429452,0.131527225,162,-0.5,3
003o0000005Be6e,0,-0.485788114,-0.278352545,163,0,3
003o0000005Be6g,0,-0.511586547,-0.019225339,164,0.5,3
003o0000005Be7N,0,-0.525367026,-0.259620363,165,1,3
003o0000005Be7O,0,-0.497766464,-0.248237762,166,1.5,3
003o0000005Be7T,0,-0.264122699,-0.099130531,167,2,3
003o0000005Be9Z,0,-0.154580463,-0.181650403,168,2.5,3
003o0000005Be9W,0,-0.391494292,-0.00044829,169,3,3
003o0000005Be9d,0,-0.343820876,-0.112595452,170,3.5,3
003o0000005Be9O,0,-0.378976356,0.087087089,171,3.5,2.5
003o0000005Be88,0,-0.47947069,-0.088702173,172,3.5,2
003o0000005Be8D,0,-0.266822939,0.019310661,173,3.5,1.5
003o0000005Be8Q,0,-0.226736113,0.028613235,174,3.5,1
003o0000005Be7o,0,-0.490054219,0.076691204,175,3.5,0.5
003o0000005Be9L,0,-0.360000906,0.000170748,176,3.5,0
003o0000005Be7x,0,-0.549716965,0.089136492,177,3.5,-0.5
