caseNumber,CODEYR,clusters,xStart,yStart,xs,ys
112,7,1,0.388701404,0.137688189,-0.022022276,-0.500198884
113,15,1,0.079794905,0.301766256,0.114282077,-0.517756191
114,7,1,0.195537626,0.260778494,0.477969792,0.101627093
115,15,1,0.365925533,0.414706073,-0.248041023,-0.499067509
116,9,3,0.270738454,0.006719267,-0.394956185,-0.502150118
117,9,3,0.234862849,-0.035288732,-0.432058172,-0.160935683
118,8,3,-0.373411539,0.441027355,-0.333231567,-0.256752953
119,16,3,0.626847235,-0.099518924,-0.002922253,-0.34923519
120,9,1,0.198445996,0.36907926,0.336304123,-0.309350398
121,10,3,-0.276979729,0.297157055,0.275656083,0.39758502
122,8,1,0.585506986,0.272860671,0.3508651,-0.101544199
123,12,1,0.080207855,0.575199223,0.307433248,-0.318984786
124,6,3,0.467119956,-0.028696163,-0.347873043,0.29253996
125,9,1,-0.174309416,0.511117528,-0.09694922,-0.611951226
126,8,1,0.560050546,0.164515125,0.131208603,0.375982911
127,22,1,-0.032318024,0.397203297,0.458926675,0.030587802
128,9,1,-0.132993631,0.343419069,0.454133712,0.139432258
129,8,3,-0.476722239,0.445878033,-0.187849329,0.232916897
130,12,1,0.341294167,0.045754815,-0.407687018,0.12617489
131,15,1,0.21713146,0.565140232,0.409708691,-0.286029807
132,9,1,0.134329562,0.267069663,-0.365094956,0.277740589
133,5,3,-0.425899271,0.337068786,0.073632762,-0.080494697
134,13,1,0.134808149,0.489709597,-0.298697465,0.232440697
135,12,3,-0.203264257,0.189868159,-0.433114906,0.257665968
136,9,1,0.438436645,0.233504632,0.30144153,0.235180747
137,9,1,0.129519229,0.554828557,-0.274786216,-0.216605218
138,16,1,0.010258187,0.489597171,-0.195411269,0.326430624
139,7,3,0.075522897,0.029084848,-0.589579403,0.034906497
140,10,1,0.318120734,0.54671946,-0.070847101,-0.62078201
141,10,1,0.323185583,0.391501293,-0.357268026,0.066365226
142,8,1,0.44402221,0.467290713,-0.318519442,0.323385315
143,8,1,0.267111195,0.439635803,-0.263560062,0.292232798
144,13,1,0.077354264,0.141213012,-0.342117578,0.011154338
145,10,1,0.113865771,0.421117038,0.586974303,0.005829379
146,11,1,-0.062538466,0.212380941,0.190218302,-0.194415303
147,8,1,0.199541674,0.282944956,0.450590436,0.097512468
148,12,3,0.425443654,-0.262087451,0.207787586,0.34095989
149,7,1,0.280461412,0.310571657,-0.29608264,-0.451954321
150,18,1,0.246018166,0.503805521,-0.029933419,-0.141067018
151,12,1,0.094864504,0.527798936,-0.331050043,-0.478794573
152,19,1,0.016396028,0.439059498,0.447488315,-0.013703072
153,27,3,-0.18804701,0.26408662,-0.451856205,0.536014157
154,15,1,0.198438701,0.538455618,-0.485020106,0.002691495
155,9,1,0.053015589,0.372027018,-0.266798748,0.342311997
156,14,1,-0.023342271,0.268388026,-0.274366021,-0.336549205
157,14,1,0.270833274,0.500676501,0.346383896,-0.408917249
